timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,charger.py_pid,charger.py_cpu_pct,charger.py_rss_mb
1782406450.7066107,2026-06-25T16:54:10Z,23.0,190.8,224.4,2597,0.0,14.6
1782406455.7104084,2026-06-25T16:54:15Z,24.2,164.3,250.9,2597,0.2,14.6
1782406460.7137642,2026-06-25T16:54:20Z,26.3,210.1,205.1,2597,0.0,14.6
1782406465.718963,2026-06-25T16:54:25Z,48.4,226.4,188.8,2597,0.0,14.6
1782406470.723978,2026-06-25T16:54:30Z,37.9,253.1,162.1,2597,0.2,14.6
1782406475.7268567,2026-06-25T16:54:35Z,0.5,253.0,162.2,2597,0.0,14.6
1782406480.7311072,2026-06-25T16:54:40Z,1.0,253.0,162.2,2597,0.2,14.6
1782406485.7353544,2026-06-25T16:54:45Z,0.6,253.0,162.2,2597,0.0,14.6
1782406490.739544,2026-06-25T16:54:50Z,1.1,253.0,162.3,2597,0.0,14.6
1782406495.7436473,2026-06-25T16:54:55Z,0.7,253.0,162.2,2597,0.2,14.6
1782406500.7477646,2026-06-25T16:55:00Z,0.9,253.1,162.2,2597,0.0,14.6
1782406505.7519293,2026-06-25T16:55:05Z,10.7,253.8,161.4,2597,0.0,14.6
1782406510.7548509,2026-06-25T16:55:10Z,37.1,271.8,143.4,2597,0.0,14.6
1782406515.7583292,2026-06-25T16:55:15Z,35.6,287.1,128.2,2597,0.2,14.6
1782406520.7661107,2026-06-25T16:55:20Z,35.2,290.5,124.7,2597,0.0,14.6
1782406525.769027,2026-06-25T16:55:25Z,28.3,297.6,117.6,2597,0.0,14.6
1782406530.7759774,2026-06-25T16:55:30Z,40.4,298.9,116.3,2597,0.4,11.3
1782406535.788461,2026-06-25T16:55:35Z,39.3,305.5,109.7,2597,0.2,11.3
1782406540.7925498,2026-06-25T16:55:40Z,36.3,307.7,107.5,2597,0.0,11.3
1782406545.7959363,2026-06-25T16:55:45Z,38.7,316.7,98.5,2597,0.0,11.3
1782406550.7998557,2026-06-25T16:55:50Z,38.9,318.6,96.6,2597,0.0,11.3
1782406555.8031476,2026-06-25T16:55:55Z,38.7,321.4,93.8,2597,0.2,11.3
1782406560.8065567,2026-06-25T16:56:00Z,32.2,321.9,93.3,2597,0.0,11.3
1782406565.809922,2026-06-25T16:56:05Z,36.6,328.4,86.8,2597,0.0,11.3
1782406570.8131437,2026-06-25T16:56:10Z,30.0,325.4,89.8,2597,0.0,11.4
1782406575.815886,2026-06-25T16:56:15Z,25.4,327.1,88.1,2597,0.2,11.4
1782406580.8194726,2026-06-25T16:56:20Z,31.0,329.8,85.4,2597,0.2,11.4
1782406585.8231785,2026-06-25T16:56:25Z,30.3,329.8,85.5,2597,0.0,11.4
1782406590.826695,2026-06-25T16:56:30Z,21.8,329.8,85.5,2597,0.0,11.4
1782406595.830115,2026-06-25T16:56:35Z,27.9,329.7,85.5,2597,0.0,11.4
1782406600.833453,2026-06-25T16:56:40Z,29.8,330.1,85.1,2597,0.0,11.4
1782406605.840355,2026-06-25T16:56:45Z,31.3,330.6,84.6,2597,0.2,11.4
1782406610.847281,2026-06-25T16:56:50Z,21.4,330.5,84.7,2597,0.0,11.4
1782406615.851017,2026-06-25T16:56:55Z,32.3,338.0,77.2,2597,0.2,11.4
1782406620.854421,2026-06-25T16:57:00Z,32.0,338.1,77.1,2597,0.2,11.4
1782406625.8584979,2026-06-25T16:57:05Z,37.1,323.7,91.5,2597,0.0,11.0
1782406630.8626018,2026-06-25T16:57:10Z,35.2,289.8,125.4,2597,0.0,8.1
1782406635.867436,2026-06-25T16:57:15Z,19.9,291.6,123.6,2597,0.0,8.1
1782406640.870535,2026-06-25T16:57:20Z,26.6,302.3,112.9,2597,0.0,8.1
1782406645.8740783,2026-06-25T16:57:25Z,39.6,307.4,107.9,2597,0.2,8.1
1782406650.878528,2026-06-25T16:57:30Z,25.3,308.2,107.0,2597,0.0,8.1
1782406655.8813634,2026-06-25T16:57:35Z,16.0,308.4,106.8,2597,0.0,8.1
1782406660.884095,2026-06-25T16:57:40Z,34.2,308.4,106.8,2597,0.2,8.1
1782406665.8880198,2026-06-25T16:57:45Z,30.7,308.9,106.3,2597,0.0,8.1
1782406670.8913558,2026-06-25T16:57:50Z,29.1,308.9,106.3,2597,0.0,8.1
1782406675.894355,2026-06-25T16:57:55Z,19.1,310.9,104.3,2597,0.2,8.1
1782406680.8989441,2026-06-25T16:58:00Z,20.3,310.9,104.3,2597,0.0,8.1
1782406685.9045417,2026-06-25T16:58:05Z,19.6,311.1,104.1,2597,0.2,8.1
1782406690.9081206,2026-06-25T16:58:10Z,20.8,311.2,104.0,2597,0.2,8.1
1782406695.9112048,2026-06-25T16:58:15Z,18.0,311.2,104.0,2597,0.0,8.1
1782406700.914024,2026-06-25T16:58:20Z,17.6,311.0,104.2,2597,0.0,8.1
1782406705.9189234,2026-06-25T16:58:25Z,28.8,311.0,104.2,2597,0.2,8.1
1782406710.9222655,2026-06-25T16:58:30Z,16.0,312.7,102.5,2597,0.0,8.1
1782406715.9250443,2026-06-25T16:58:35Z,17.0,312.7,102.5,2597,0.0,8.1
1782406720.9277961,2026-06-25T16:58:40Z,14.2,312.6,102.6,2597,0.0,8.1
1782406725.9313517,2026-06-25T16:58:45Z,25.7,312.6,102.6,2597,0.2,8.1
1782406730.9349084,2026-06-25T16:58:50Z,31.3,312.7,102.5,2597,0.0,8.1
1782406735.9376638,2026-06-25T16:58:55Z,26.3,312.4,102.9,2597,0.0,8.1
1782406740.9407966,2026-06-25T16:59:00Z,25.1,314.3,101.0,2597,0.0,8.1
1782406745.9441438,2026-06-25T16:59:05Z,18.7,316.1,99.1,2597,0.2,8.1
1782406750.9469948,2026-06-25T16:59:10Z,14.8,315.9,99.3,2597,0.0,8.1
1782406755.9499252,2026-06-25T16:59:15Z,23.6,315.9,99.3,2597,0.0,8.1
1782406760.9527674,2026-06-25T16:59:20Z,16.1,315.9,99.3,2597,0.2,8.1
1782406765.9561908,2026-06-25T16:59:25Z,15.4,316.8,98.5,2597,0.0,8.1
1782406770.9589384,2026-06-25T16:59:30Z,15.7,316.7,98.5,2597,0.0,8.1
1782406775.9620087,2026-06-25T16:59:35Z,15.7,316.7,98.5,2597,0.0,8.1
1782406780.9651918,2026-06-25T16:59:40Z,16.3,316.7,98.5,2597,0.0,8.1
1782406785.9679358,2026-06-25T16:59:45Z,14.5,316.8,98.4,2597,0.4,8.1
1782406790.9709995,2026-06-25T16:59:50Z,17.3,316.7,98.5,2597,0.0,8.1
1782406795.9738562,2026-06-25T16:59:55Z,13.6,316.7,98.5,2597,0.0,8.1
1782406800.9775143,2026-06-25T17:00:00Z,15.1,316.7,98.5,2597,0.0,8.1
1782406805.9803033,2026-06-25T17:00:05Z,13.3,316.7,98.6,2597,0.0,8.1
1782406810.9852808,2026-06-25T17:00:10Z,14.1,316.7,98.6,2597,0.2,8.1
1782406815.9890776,2026-06-25T17:00:15Z,14.6,316.7,98.6,2597,0.0,8.1
1782406820.991841,2026-06-25T17:00:20Z,15.4,318.5,96.7,2597,0.0,8.1
1782406825.995549,2026-06-25T17:00:25Z,13.3,318.5,96.8,2597,0.2,8.1
1782406830.9983308,2026-06-25T17:00:30Z,15.0,318.5,96.8,2597,0.0,8.1
1782406836.0015178,2026-06-25T17:00:36Z,12.7,318.5,96.8,2597,0.2,8.1
1782406841.004298,2026-06-25T17:00:41Z,16.6,318.4,96.8,2597,0.0,8.1
1782406846.0076766,2026-06-25T17:00:46Z,12.9,318.4,96.8,2597,0.0,8.1
1782406851.0104277,2026-06-25T17:00:51Z,14.9,318.4,96.8,2597,0.0,8.1
1782406856.0132809,2026-06-25T17:00:56Z,12.5,318.4,96.8,2597,0.0,8.1
1782406861.0177643,2026-06-25T17:01:01Z,15.5,318.4,96.8,2597,0.2,8.1
1782406866.020591,2026-06-25T17:01:06Z,17.0,318.4,96.8,2597,0.2,8.1
1782406871.0235567,2026-06-25T17:01:11Z,14.8,318.4,96.8,2597,0.0,8.1
1782406876.030383,2026-06-25T17:01:16Z,17.0,318.4,96.9,2597,0.2,8.1
1782406881.0332665,2026-06-25T17:01:21Z,15.0,318.4,96.9,2597,0.0,8.1
1782406886.0372925,2026-06-25T17:01:26Z,14.9,318.3,96.9,2597,0.0,8.1
1782406891.040152,2026-06-25T17:01:31Z,15.4,318.3,96.9,2597,0.2,8.1
1782406896.0436232,2026-06-25T17:01:36Z,23.8,318.3,96.9,2597,0.0,8.1
1782406901.046797,2026-06-25T17:01:41Z,12.4,318.3,96.9,2597,0.0,8.1
1782406906.0504963,2026-06-25T17:01:46Z,16.4,318.3,96.9,2597,0.0,8.1
1782406911.0534112,2026-06-25T17:01:51Z,12.0,318.3,96.9,2597,0.0,8.1
1782406916.0568674,2026-06-25T17:01:56Z,18.0,318.3,96.9,2597,0.2,8.1
1782406921.0600905,2026-06-25T17:02:01Z,12.4,318.3,96.9,2597,0.0,8.1
1782406926.0635188,2026-06-25T17:02:06Z,16.1,318.3,96.9,2597,0.0,8.1
1782406931.066409,2026-06-25T17:02:11Z,12.9,318.3,97.0,2597,0.2,8.1
1782406936.0702426,2026-06-25T17:02:16Z,15.7,318.6,96.7,2597,0.0,8.1
1782406941.0731215,2026-06-25T17:02:21Z,12.4,318.6,96.6,2597,0.2,8.1
1782406946.0761588,2026-06-25T17:02:26Z,14.7,318.6,96.6,2597,0.0,8.1
1782406951.0789158,2026-06-25T17:02:31Z,13.6,318.6,96.6,2597,0.2,8.1
1782406956.0820112,2026-06-25T17:02:36Z,13.8,318.6,96.6,2597,0.0,8.1
1782406961.0847857,2026-06-25T17:02:41Z,13.8,318.6,96.6,2597,0.0,8.1
1782406966.0874982,2026-06-25T17:02:46Z,13.7,318.6,96.7,2597,0.0,8.1
1782406971.091976,2026-06-25T17:02:51Z,13.7,318.6,96.7,2597,0.0,8.1
1782406976.0947526,2026-06-25T17:02:56Z,16.3,318.6,96.6,2597,0.2,8.1
1782406981.097583,2026-06-25T17:03:01Z,15.2,318.6,96.6,2597,0.0,8.1
1782406986.1003993,2026-06-25T17:03:06Z,16.3,318.6,96.6,2597,0.0,8.1
1782406991.103404,2026-06-25T17:03:11Z,15.2,318.6,96.6,2597,0.0,8.1
1782406996.1062813,2026-06-25T17:03:16Z,12.9,318.6,96.6,2597,0.2,8.1
1782407001.1097112,2026-06-25T17:03:21Z,14.1,318.6,96.6,2597,0.0,8.1
1782407006.1128423,2026-06-25T17:03:26Z,13.8,318.6,96.6,2597,0.0,8.1
1782407011.1160433,2026-06-25T17:03:31Z,14.0,318.6,96.6,2597,0.2,8.1
1782407016.1188054,2026-06-25T17:03:36Z,13.9,318.6,96.6,2597,0.0,8.1
1782407021.1216378,2026-06-25T17:03:41Z,17.4,284.4,130.8,2597,0.0,8.1
1782407026.1246111,2026-06-25T17:03:46Z,1.3,135.4,279.8,2597,0.2,8.3
